철도운영기관명,선명,역명,역구성순서,구간키로,기점키로
대구교통공사,1호선,설화명곡,1,1.2,0
대구교통공사,1호선,화원,2,1.3,1.2
대구교통공사,1호선,대곡(정부대구청사),3,1,2.5
대구교통공사,1호선,진천,4,0.8,3.5
대구교통공사,1호선,월배,5,0.7,4.3
대구교통공사,1호선,상인,6,0.9,5
대구교통공사,1호선,월촌,7,1,5.9
대구교통공사,1호선,송현,8,0.8,6.9
대구교통공사,1호선,서부정류장(관문시장),9,0.8,7.7
대구교통공사,1호선,대명,10,0.8,8.5
대구교통공사,1호선,안지랑,11,0.7,9.3
대구교통공사,1호선,현충로,12,0.9,10
대구교통공사,1호선,영대병원,13,0.9,10.7
대구교통공사,1호선,교대,14,0.7,11.4
대구교통공사,1호선,명덕(2.28민주운동기념회관),15,0.8,12.2
대구교통공사,1호선,반월당,16,0.7,12.9
대구교통공사,1호선,중앙로,17,0.7,13.6
대구교통공사,1호선,대구역,18,1.2,14.3
대구교통공사,1호선,칠성시장,19,1.2,15.1
대구교통공사,1호선,신천(경북대입구),20,0.9,16
대구교통공사,1호선,동대구역,21,0.9,16.9
대구교통공사,1호선,동구청(큰고개),22,0.8,17.8
대구교통공사,1호선,아양교,23,1,18.6
대구교통공사,1호선,동촌,24,1,19.6
대구교통공사,1호선,해안,25,1,20.6
대구교통공사,1호선,방촌,26,1.2,21.6
대구교통공사,1호선,용계,27,1.2,22.7
대구교통공사,1호선,율하,28,1.1,23.8
대구교통공사,1호선,신기,29,1,24.9
대구교통공사,1호선,반야월,30,1,25.9
대구교통공사,1호선,각산,31,0.9,26.9
대구교통공사,1호선,안심(혁신도시.첨복단지),32,1.3,27.8
대구교통공사,1호선,대구한의대병원,33,5.9,29.1
대구교통공사,1호선,부호,34,1.5,35
대구교통공사,1호선,하양,35,0,36.5
